time,hr_bpm,hr_conf,rr_ms,rr_conf,spo2_pct,spo2_valid,skin_contact
04:58:31.158,60,0,0,0,0,0,2
04:58:31.158,60,0,0,0,0,0,2
04:58:31.158,60,0,0,0,0,0,2
04:58:31.209,60,0,0,0,0,0,2
04:58:31.209,60,0,0,0,0,0,2
04:58:31.209,60,0,0,0,0,0,2
04:58:31.305,60,0,0,0,0,0,2
04:58:31.305,60,0,0,0,0,0,2
04:58:31.305,60,0,0,0,0,0,2
04:58:31.401,60,0,0,0,0,0,2
04:58:31.401,60,0,0,0,0,0,2
04:58:31.401,60,0,0,0,0,0,2
04:58:31.401,60,0,0,0,0,0,2
04:58:31.500,60,0,0,0,0,0,2
04:58:31.500,60,0,0,0,0,0,2
04:58:31.500,60,0,0,0,0,0,2
04:58:31.599,60,0,0,0,0,0,2
04:58:31.599,60,0,0,0,0,0,2
04:58:31.599,60,0,0,0,0,0,2
04:58:31.743,60,0,0,0,0,0,2
04:58:31.743,60,0,0,0,0,0,2
04:58:31.743,60,0,0,0,0,0,2
04:58:31.794,60,0,0,0,0,0,2
04:58:31.794,60,0,0,0,0,0,2
04:58:31.794,60,0,0,0,0,0,2
04:58:31.890,60,0,0,0,0,0,2
04:58:31.890,60,0,0,0,0,0,2
04:58:31.890,60,0,0,0,0,0,2
04:58:32.035,60,0,0,0,0,0,2
04:58:32.035,60,0,0,0,0,0,2
04:58:32.035,60,0,0,0,0,0,2
04:58:32.085,60,0,0,0,0,0,2
04:58:32.085,60,0,0,0,0,0,2
04:58:32.085,60,0,0,0,0,0,2
04:58:32.183,60,0,0,0,0,0,2
04:58:32.183,60,0,0,0,0,0,2
04:58:32.183,60,0,0,0,0,0,2
04:58:32.279,60,0,0,0,0,0,2
04:58:32.279,60,0,0,0,0,0,2
04:58:32.279,60,0,0,0,0,0,2
04:58:32.377,60,0,0,0,0,0,2
04:58:32.377,60,0,0,0,0,0,2
04:58:32.377,60,0,0,0,0,0,2
04:58:32.523,60,0,0,0,0,0,2
04:58:32.523,60,0,0,0,0,0,2
04:58:32.523,60,0,0,0,0,0,2
04:58:32.573,60,0,0,0,0,0,2
04:58:32.573,60,0,0,0,0,0,2
04:58:32.573,60,0,0,0,0,0,2
04:58:32.670,60,0,0,0,0,0,2
04:58:32.670,60,0,0,0,0,0,2
04:58:32.670,60,0,0,0,0,0,2
04:58:32.767,60,0,0,0,0,0,2
04:58:32.767,60,0,0,0,0,0,2
04:58:32.865,60,0,0,0,0,0,2
04:58:32.865,60,0,0,0,0,0,2
04:58:32.865,60,0,0,0,0,0,2
04:58:33.013,60,0,0,0,0,0,2
04:58:33.013,60,0,0,0,0,0,2
04:58:33.013,60,0,0,0,0,0,2
04:58:33.109,60,0,0,0,0,0,2
04:58:33.109,60,0,0,0,0,0,2
04:58:33.109,60,0,0,0,0,0,2
