Time_Seconds,Filtered_BioZ_Amplitude
229.81537752172414,457946.1369303156
229.82862565555257,452409.732575891
229.841873789381,446438.2772201936
229.85512192320942,440035.90594353696
229.86837005703785,433207.09974812804
229.88161819086628,425956.68275446753
229.8948663246947,418289.8171197673
229.90811445852313,410211.9957333335
229.92136259235156,401729.03388964
229.93461072617998,392847.0613615949
229.9478588600084,383572.5152721589
229.96110699383684,373912.13315309637
229.97435512766526,363872.9453762784
229.9876032614937,353462.26665001333
230.00085139532212,342687.68716061604
230.01409952915057,331557.0642240684
230.027347662979,320078.5147086259
230.04059579680742,308260.4082455851
230.05384393063585,296111.3616451885
230.06709206446428,283640.2348806498
230.0803401982927,270856.1286436183
230.09358833212113,257768.38377633182
230.10683646594956,244386.58315912622
230.12008459977798,230720.5553784992
230.1333327336064,216780.37762445433
230.14658086743484,202576.3756351266
230.15982900126326,188119.12116245454
230.1730771350917,173419.42919007293
230.18632526892011,158488.3567011219
230.19957340274854,143337.20359029915
230.21282153657697,127977.51536779813
230.2260696704054,112421.08683969945
230.23931780423382,96679.96611261083
230.25256593806225,80766.45868514666
230.26581407189067,64693.13154984784
230.2790622057191,48472.817349305784
230.29231033954753,32118.618804679263
230.30555847337595,15643.913416976147
230.31880660720438,-937.642013479997
230.3320547410328,-17612.10785654501
230.34530287486123,-34365.260026026204
230.35855100868966,-51182.590258237884
230.37179914251809,-68049.30685103303
230.3850472763465,-84950.33461865583
230.39829541017494,-101870.31440364059
230.41154354400337,-118793.60319953275
230.4247916778318,-135704.2756635194
230.43803981166022,-152586.1277188106
230.45128794548864,-169422.68309916474
230.46453607931707,-186197.20338696198
230.4777842131455,-202892.70117499336
230.49103234697392,-219491.95521427435
230.50428048080235,-235977.52649879496
230.51752861463078,-252331.77496968655
230.5307767484592,-268536.87731420633
230.54402488228763,-284574.8466602646
230.55727301611606,-300427.55444881634
230.57052114994448,-316076.7536125197
230.5837692837729,-331504.1014503071
230.59701741760134,-346691.18130092387
230.61026555142976,-361619.52374356595
230.6235136852582,-376270.6288965668
230.63676181908662,-390625.99086371216
230.65000995291504,-404667.12445638934
230.66325808674347,-418375.5938050633
230.67650622057192,-431733.0421565301
230.68975435440035,-444721.2220287886
230.70300248822878,-457322.0255847535
230.7162506220572,-469517.5159059601
230.72949875588563,-481289.95924666856
230.74274688971406,-492621.85706835584
230.75599502354248,-503495.9768604035
230.7692431573709,-513895.3823278427
230.78249129119934,-523803.4645103793
230.79573942502776,-533203.9749050334
230.8089875588562,-542081.0603137144
230.82223569268461,-550419.2980484079
230.83548382651304,-558203.7300718954
230.84873196034147,-565419.8955277572
230.8619800941699,-572053.8623646162
230.87522822799832,-578092.2593516483
230.88847636182675,-583522.3086433313
230.90172449565517,-588331.8571442605
230.9149726294836,-592509.4043800065
230.92822076331203,-596044.1257860418
230.94146889714045,-598925.8923536984
230.95471703096888,-601145.2891461288
230.9679651647973,-602693.6351481557
230.98121329862573,-603563.0056832848
230.99446143245416,-603746.2573977852
231.00770956628259,-603237.0551344182
231.020957700111,-602029.9002726609
231.03420583393944,-600120.1604542049
231.04745396776786,-597504.0994081442
231.0607021015963,-594178.9038903401
231.07395023542472,-590142.7054282005
231.08719836925314,-585394.5973528693
231.10044650308157,-579934.6495375148
231.11369463691,-573763.9229518919
231.12694277073842,-566884.4842158093
231.14019090456685,-559299.4184208454
231.15343903839528,-551012.8383555366
231.1666871722237,-542029.8897971758
231.17993530605213,-532356.7541645559
231.19318343988056,-522000.6503514878
231.20643157370898,-510969.8365510759
231.2196797075374,-499273.61115824
231.23292784136584,-486922.3106141904
231.24617597519426,-473927.30205376516
231.2594241090227,-460300.97049404675
